pipol_url,pipol_id,title,operating_unit,operating_unit_id,type_id,regular,bases,description,pipol_code,spatial_coverage_id,region_id,regions,provinces,pip,typology_id,cip,cip_type_id,trip,rdip,rdc_required,rdc_endorsed,rdc_endorsed_date,neda_secretariat_review_date,neda_submission_date,icc_endorsed_date,icc_approved_date,neda_board_date,sectors,subsectors,technical_readinesses,implementation_risk,project_status_id,iccable,updates,updates_date,pdp_chapter_id,pdp_chapters,expected_outputs,ten_point_agenda,sustainable_development_goals,gad_id,target_start_year,target_end_year,technical_readiness_id,fs_target_2018,fs_target_2019,fs_target_2020,fs_target_2021,fs_target_2022,fs_target_total,has_row,has_rap,has_row_rap,row_affected,rap_affected,row_target_2017,row_target_2018,row_target_2019,row_target_2020,row_target_2021,row_target_2022,row_target_total,rap_target_2017,rap_target_2018,rap_target_2019,rap_target_2020,rap_target_2021,rap_target_2022,rap_target_total,employment_generated,funding_sources,implementation_mode_id,nep_2017,gaa_2017,disbursement_2016,nep_2018,gaa_2018,disbursement_2017,nep_2019,gaa_2019,disbursement_2018,nep_2020,gaa_2020,disbursement_2019,nep_2021,gaa_2021,disbursement_2020,nep_2022,gaa_2022,disbursement_2021,pdp_indicators,investment_target_2016,investment_target_2017,investment_target_2018,investment_target_2019,investment_target_2020,investment_target_2021,investment_target_2022,investment_target_2023,infrastructure_target_2016,infrastructure_target_2017,infrastructure_target_2018,infrastructure_target_2019,infrastructure_target_2020,infrastructure_target_2021,infrastructure_target_2022,infrastructure_target_2023
http://pipol.neda.gov.ph/editproject/9503,9503,"ACPC - Policy Formulation, research and advocacy, monitoring and evaluation of credit policies, plans and programs and capacity building",ACPC,24,1,1,"['1', '2', '7']","1. Provision of capacity building to (i) small farmers and fisherfolk (SFF) (e.g., financial literacy, entrepreneurship, access to and management of loans and repayments), and (ii) SFF organizations (e.g., strategic planning, internal control systems, project identification and business planning, organizational and business management), geared towards strengthened participation in the value chain;
2. Conduct of policy studies and program/project monitoring and evaluation, advocacy and information campaign; and                           
3. Establishment of small farmer/fisher client database, and purchase of software/hardware requirement",2020-05001-000012,1,14,"['15', '1', '2', '3', '40', '41', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",[],1,2,0,,0,1,0,0,,,,,,,[],[],[],,1,0,"(i) From January to September 2018, 174 training/ICB activities were conducted benefitting 3,911 officers/staff/famer-fisher members of 348 farmers/fishersfolk organizations; (ii) A course in Financial Literacy was included in the ICB curriculum starting this year; (iii) Small Farmers and Fisherfolk Indebtedness Survey (SFFIS) was completed; priority tables were produced; completing processing of all data; (iv) State of Financial Inclusion Among SFFs in the Philippines - on going; (v) Proposed Profiling & Determination of Credit Demand of SFF in the Poorest Provinces & Rural Finance in the Philippines: Issues & Challenges for FY 2017 were dropped.  Assessment of AFFP and SSP were completed instead; (vi) 2017: Systems purchased include Administrative Information System (IS), Fund Management IS and Monitoring and Evaluation MIS.  Purchased also were computers; and (vii) 2018: 31 desktop computers were purchased",30/09/2018,8,[],(i) Number of training/ICB activities provided; (ii) Number of farmers and fisherfolk organizations provided with institutional capacity building assistance; and (iii) No. of farmer/fisherfolk-members/officers and staff trained; and (v) Software (system) and hardware (computers),['5'],"['1', '2']",,2017,2022,5,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,8935000,8935000,8935000,5430000,5430000,5430000,14412000,14412000,0,11423000,0,0,0,0,0,0,0,0,"['5', '96', '183']",29373000,8935000,5430000,14412000,223740000,240000000,240000000,240000000,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/9437,9437,ACPC- Agro-Industry Modernization Credit and Financing Program (AMCFP) Administration,ACPC,24,1,1,"['1', '2', '4', '6', '7', '8']","Credit for (i) production of crops, poultry, livestock and fisheries, (ii) finance requirements in rehabilitating farming, fishing, livelihood activities affected by calamities, etc. (iii) working capital requirements of trading, marketing, processing of agri-fisheries products, (iv) acquisition of machinery, equipment and/or facilities from production, harvesting to post harvest",2020-05001-000014,1,,[],[],1,6,0,,0,0,0,0,,,,,,,[],[],[],,1,0,"Amount of loans granted to credit retailers	P2.265 billion
Amount of loans granted to small farmers and fishers (individual SFF borrowers)	P1.861 billion
Number of SFF granted with credit (individual SFF borrowers)	 64,549 
Amount of loans granted to organizational borrowers	P32.453 million
Number of farmer/fisher organizations granted with credit	11
Number of SFF beneficiaries of organizational borrowers	300",25/10/2019,8,[],(i) Amount of loans granted to credit retailers; (ii) Amount of loans granted to small farmers and fishers; and (iii) Number of small farmers and fishers granted with credit,['5'],"['1', '2']",,2017,2022,5,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,750000000,750000000,750000000,1050000000,1050000000,150000000,2431886000,2431886000,0,2280000000,0,0,0,0,0,0,0,0,"['5', '96']",0,750000000,1050000000,2431890000,2280000000,2300000000,2300000000,2300000000,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/24861,24861,Agriculture and Fishery Regulatory Support Program,OASR,53,1,1,"['1', '2', '7']","The Department of Agriculture plays a principal role in ensuring safe and quality agricultural and fisheries products for consumers as well as facilitating trade of the same. This role calls for a farm-to-fork approach to ensuring quality and safety now being demanded by the local and foreign markets and consumers for the products they buy and consume. It also plays a critical role in protecting our borders from the entry of risks to human, plant, and animal health and life. It is imperative therefore that the regulatory offices of the DA must strengthen their delivery of services by recognizing and implementing reforms and practices aligned with the best international principles and practices.",2020-05001-000154,1,,[],[],1,1,0,,1,0,0,0,,,,,,,['6'],['19'],['9'],Procurement process,1,0,The Office of the Assistant Secretary for Regulations of the Department of Agriculture is currently harmonizing the structure and functions of its Regional Regulatory Offices. The finalized Regulatory Framework based from the inputs of the regulatory officers is expected by the end of 2018.,26/10/2019,8,['19'],"1. Provide a strong and reliable pest and disease control method by the use of quarantine stations and checkpoints for the early detection and emergency response to local and exotic animal and plant diseases that may cause negative impact on production, international trade and public health.
2. Provide an efficient web-based public service in the application and approval of permits
3. Ease of Business permit processing which is favorable for more business undertakings to thrive 
4. Provide standard guidelines for Registration, Licensing and Accreditation of agribusiness enterprises and other related businesses, including import/export sanitary and phytosanitary permits/clearances 
5. Monitor and maintain records of Incidences. Cases and Outbreaks of major plant pests and animal diseases and design appropriate prevention and control measures
6.Systematic and scientific prevention, control and eradication of economically significant plant pests and animal diseases. 
7. Quality and safety assurance of food of plant and animal origin 
8. Conduct periodic/regular inspection of food/feed products available in the market for quality and safety assurance 
9. Conduct periodic/regular inspection and monitoring of food/feed/veterinary drugs and products manufacturing establishments and facilities along with their counterpart animal feeds/diagnostic laboratories 
10. Develop Standards/Codes for Good Practices in Agriculture (GAP), Animal Husbandry (GAHP) and Aquatic Resources (GAqP)","['3', '5']",['2'],,2017,2022,5,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,0,675915000,0,0,703951000,0,418331000,418331000,0,639379000,0,0,0,0,0,0,0,0,"['4', '92']",0,675915000,703951000,418331000,639379000,258344729,258344729,0,0,0,0,35844000,120974000,0,0,0
http://pipol.neda.gov.ph/editproject/32845,32845,AMAS - Improvement of the Value Chain of Selected Vegetables in Selected Areas in the Philippines,AMAS,57,2,0,['4'],"The project aims to increase market efficiency and reduce post-harvest losses in the vegetable industry through the improvement of marketing practices and the introduction of new technologies/systems. We would like to improve the processes along the value chain to get better prices for farmers' produce.In the long-run, we would like our farmers to be able to effectively engage in entrepreneurship in order to be able to sell directly to consumers/buyers thereby reducing the multi-layered marketing system for vegetables.	

Specifically, this aims to improve the farming practices, post-harvest and marketing system with new and appropriate technologies to provide better value of farmers' products; to capacitate AMAS, AMAD, LGUs, and farmers with new farming, value-adding, and marketing technologies.",2021-05001-000299,2,40,"['15', '2', '40']","['13', '55', '61']",1,1,0,,0,0,0,0,,,,,,,[],[],[],,2,0,With concept note,28/10/2019,8,[],"(1) Developed and enhanced Vegetable value Chain Roadmap; 
(2) Established integrated marketing system; 
(3) Increased value of vegetables harvested; 
(4) Developed manuals and modules of the developed systems for production, post-harvest and marketing",['4'],"['1', '2', '8', '12']",,2020,2025,4,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['3'],75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '92', '93', '5', '94', '95']",0,0,0,0,230296440,0,0,0,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/32878,32878,ATI - Collaborative Provincial Agriculture and Fisheries Extension System (CPAFES),ATI,18,2,0,['4'],"The Collaborative Provincial Agriculture and Fisheries Extension System (CPAFES) is a province led-inter-agency collaboration with the overall approach of empowering the LGUs through the project’s manpower, money, machinery, method, and time in order to make the extension system vibrant and dynamic. Major interventions/components involve province-led learning and capability building, provincial partnerships and engagement, knowledge management, and governance.

This project aims to enhance rural livelihoods by improving the agriculture and fisheries extension service delivery in local government units.",2020-05001-000301,2,13,"['1', '8', '13']","['3', '31', '34']",1,1,0,,0,0,0,0,,,,,,,[],[],[],,2,0,With concept note,18/12/2019,8,[],"1) Pilot Collaborative Provincial Agriculture and Fisheries Extension System (CPAFES) established;
2) Provincial Agriculture and Fisheries Extension Centers (PAFECs) established, and 
3) Collaborative Agriculture and Fisheries Extension Programs (CAFEP) developed for each pilot provinces.","['5', '7']","['1', '2', '8', '12', '17']",,2020,2020,4,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['5', '95', '182']",0,0,0,0,153623810,0,0,0,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/9490,9490,ATI - Malitubog-Maridagao Irrigation Project Phase II (Agricultural Component)(Mal-Mar),ATI,18,2,0,['2'],"With the constantly increasing population in the Philippines that leads to the continuous struggle to meet the domestic demands of rice production, provision of farmerâ€™s need-based necessities are one of the key to maximized rice production. 
To address the need to increase rice yield in the MMIP area, the project will implement major interventions in rice areas in Region XII & ARMM to toughen farmersâ€™ food security, poverty alleviation, and climate risk resilient. The major interventions are as follows; 
     1. Agriculture and Fishery policy Services       
     2. Provision of training and training-related events                 
     3. Technology demonstration establishment.
     4. Provision of Farm Production Input Assistance (FPIA)",2020-05001-000015,2,14,"['16', '12', '14']",['27'],1,2,0,,0,1,1,1,,,,,,,[],[],[],,3,0,"Ongoing Implementation

The project is expected to be completed this year. As of writing, the project has benefited a total of 1,500 farmer cooperators through the Rice Production Roll-Over Scheme/Farm Input Assistance. The same farmers were given appropriate trainings, including CSFS. Moreover, 250 farmers participated in the establishment of Participatory Demonstration Farm (PDF). The project also showed more than a hundred percent increase in the yield per hectare as against the benchmark data.

For FY 2018, the project was funded under Regular Program of the agency.",18/10/2018,8,[],"(1)	Provision of Rice related training
(2)	Provision of farm input assistance
(3)	Provision of training on values orientation and culture appreciation
(4)	PCIC Insurance application",['5'],['2'],,2017,2018,5,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,0,30896000,0,0,30800000,0,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '92', '174', '5', '95', '182']",0,30896000,30800000,0,0,0,0,0,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/31909,31909,ATI - Rice Competitiveness Enhancement Fund - Rice Extension Services Program (RCEF-RESP),ATI,18,1,1,"['1', '2', '4', '7']","The general objective of the RCEF-Extension Program is to conduct strategic extension services the capability of Rice Fund beneficiaries in modern rice and seed production and other relevant skills for improved competitiveness and income. 

Specifically, the Program shall aim to:

1. Improve knowledge, attitudes, and skills of Rice Fund beneficiaries in producing more rice at reduced production cost through training programs, enterprise development assistance, and communication support services; 

2. Increase access to modern, science-based farming techniques and other relevant skills by developing farm schools and strengthening their capacities on rice knowledge/technology transfer; and

3. Enable availment of training programs under the Rice Fund through a scholarship scheme.",2021-05001-000213,1,,[],[],1,1,0,,0,0,0,0,,,,,,,[],[],[],,1,0,Ongoing,11/10/2019,8,[],"Output 1: Training Programs, Communication Support and Enterprise Development Assistance 

Strengthening capacities of specialists and trainers
1. By 2021, at least 2 training curricula developed
2. By 2021, at least 7 batches of rice specialists training conducted
3. By 2021, at least  25 batches of mechanization specialists training conducted
4. By 2021, at least 135 batches of Training of Trainers conducted 
5. By 2021, at least 360 batches of training for Farmer Cooperative Associations conducted
6. By 2021, at least 1,350 seed growers trained on certified seed production 

Strengthening capacities of specialists and trainers
Access to information, education, and communication services 
1. By 2021, at least 8,400,000 copies of KPs Disseminated 
2. By 2021, at least 30 School on Air conducted 
3. By 2021, at least 1143 Info Campaigns/Technical briefings Conducted

Enterprise Development Assistance
1. By 2021, 1,200 FCAs developed their business plans 
2. By 2021, 75% of 1,200 FCAs started their business operation

Output 2: Establishment of Farm Schools 

Rice-based farm school
1. By 2021, at least 100  farm schools accredited 

Output 3: Scholarship Program 

Scholarship
1. By 2021, at least  1947 competency based trainings
2. By 2021, at least 150,000 farmers availed scholarship

Output 4: Program Management  (for extension component)

Program Management Activities Conducted
1. By 2021, at least 6 progress review reports developed
2. At least 1 mid-term assessment conducted
3. At least 1 impact assessment conducted","['4', '5']","['1', '2', '10', '12', '13']",,2019,2023,5,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,0,0,0,0,0,0,0,100000000,0,100000000,0,0,0,0,0,0,0,0,"['4', '92', '173', '174', '175', '5', '94', '95', '182']",0,0,0,100000000,100000000,100000000,100000000,200000000,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/32090,32090,BAFE - Construction of  Bureau of Agricultural and Fisheries Engineering Office building,BAFE,23,2,0,['4'],The building will be used as the Office space of the Bureau,2021-05001-000230,3,16,['16'],['84'],1,7,0,,1,0,0,0,,,,,,,['6'],['17'],['9'],Lack of fund source,2,0,with project proposal,18/10/2019,99,['12'],Bureau of Agricultural and Fisheries Engineering Office building constructed,['5'],['9'],,2023,2023,5,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '92']",0,0,0,0,0,0,0,74200000,0,0,0,0,0,0,0,74200000
http://pipol.neda.gov.ph/editproject/32713,32713,BAFS - Agriculture and Fishery Product Standards,BAFS,55,1,1,"['7', '8']",Establishment of Philippine National Standards that would ensure quality and facilitate the trade of Philippine agriculture and fishery products,2021-05001-000296,1,,[],[],1,1,0,,0,0,0,0,,,,,,,[],[],[],,1,0,"Since 2003 up to present, the Bureau has developed 281 Philippine National Standards which cover Food Safety Product Standards, Food Safety Codes of Practice, End Product Quality standard, and Codes of Practice Quality standards.",25/10/2019,8,['20'],"Philippine National standards for primary and post-harvest agriculture and fishery products, and agri- fishery machineries, tools and equipment.",['5'],"['8', '12', '13']",,2017,2022,3,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,53097000,54052000,30595988.18,54097000,54052000,38074886.16,42369000,42369000,8583571.21,42964000,0,0,0,0,0,0,0,0,"['4', '92']",0,50898000,57189000,42369000,42964000,47260400,51986440,0,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/32716,32716,BAFS - Agriculture and Fishery Product Standards,BAFS,55,1,1,"['7', '8']",Establishment of Philippine National Standards that would ensure quality and facilitate the trade of Philippine agriculture and fishery products,2021-05001-000297,1,,[],[],1,1,0,,0,0,0,0,,,,,,,[],[],[],,1,0,"Since 2003 up to present, the Bureau has developed 281 Philippine National Standards which cover Food Safety Product Standards, Food Safety Codes of Practice, End Product Quality standard, and Codes of Practice Quality standards.",25/10/2019,8,['20'],"Philippine National standards for primary and post-harvest agriculture and fishery products, and agri- fishery machineries, tools and equipment.",['5'],"['8', '12', '13']",,2017,2022,3,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,53097000,54052000,30595988.18,54097000,54052000,38074886.16,42369000,42369000,8583571.21,42964000,0,0,0,0,0,0,0,0,"['4', '92']",0,50898000,57189000,42369000,42964000,47260400,51986440,0,0,0,0,0,0,0,0,0
http://pipol.neda.gov.ph/editproject/32043,32043,BAI - Construction of the Philippine Native Animal Center (PNAC),BAI,19,2,0,"['4', '8']","The existing BAI-NSPRDC will be expanded to become the PNAC as the central coordinating center for the implementation of plans and programs in the conservation, improvement and utilization of native animals. This is located at Km 101 Daang Maharlika Brgy. Lagalag, Tiaong, Quezon.
This will support the program of the DA on: 
1) Food Security –The program of increasing food production by utilizing native animals; 
2). Livelihood to Filipinos- increasing production of native animals in remote far-flung barangays provide livelihood to small farmers 
3) Climate Change Adaptations  -  resiliency of native animals, native pigs, native chicken, native ducks are tested to adopt in extreme weather condition thus can be source of food for the changing weather condition

To act as the breeder and multiplier farm for distribution of quality stocks, promotion of technologies and other related projects on native animal production to Local Government Units and livestock raisers.",2021-05001-000220,3,40,['40'],['61'],1,7,0,,1,0,0,0,,,,,,,['6'],['19'],['8'],Allocation is not approved,2,0,"For inclusion to FY 2021 Plan and Budget Proposal; with  Concept Note, Project Proposal, and detailed engineering design prepared.",11/10/2019,8,[],"1. Established PNAC regional native animal breeder and multiplier farm.
2. Continuous supply of quality breeders of native animals
3. Increased income and ready foods for local farmers
4. Native animals conserved and utilized
5. Organized regional native animal producers.",['5'],"['1', '2', '8', '9']",,2021,2022,3,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,['1'],74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['4', '92']",0,0,0,0,0,155582000,193534000,111384000,0,0,0,0,0,35000000,5000000,0
